epoch,accuracy,loss,val_accuracy,val_loss
0,0.28567934036254883,1.7036030292510986,0.415152370929718,1.3841001987457275
1,0.4133352041244507,1.3945096731185913,0.5184512138366699,1.2384345531463623
2,0.5111476182937622,1.2002626657485962,0.5314509272575378,1.254339575767517
3,0.5594073534011841,1.105581521987915,0.601202130317688,1.0739971399307249
4,0.591522216796875,1.037745714187622,0.6266424655914307,0.9710262417793274
5,0.6160889267921448,0.9854146838188172,0.6603298783302307,0.9189034104347228
6,0.6316046714782715,0.9510124921798706,0.6905227899551392,0.8297544717788696
7,0.6480989456176758,0.9192447662353516,0.6817165017127991,0.8724460601806641
8,0.6671093106269836,0.8823980093002319,0.7222532629966736,0.7840474247932434
9,0.671372652053833,0.8664057850837708,0.7268660664558411,0.7488724589347839
10,0.6797246336936951,0.8456829190254211,0.7267262935638428,0.7602278590202332
11,0.6883910894393921,0.8291248083114624,0.7391669154167175,0.724033772945404
12,0.6960441470146179,0.8061848878860474,0.7440592646598816,0.7091891765594482
13,0.7033128142356873,0.7984969615936279,0.7362315058708191,0.7362164855003357
14,0.7064229846000671,0.7833285927772522,0.7272854447364807,0.7452898621559143
15,0.7115250229835509,0.7717984318733215,0.754682719707489,0.6936838626861572
16,0.7131325006484985,0.7659263610839844,0.7377690672874451,0.7374832630157471
17,0.718199610710144,0.7548813223838806,0.7531450986862183,0.6873871088027954
18,0.7258177399635315,0.7411656975746155,0.7627900242805481,0.6731234788894653
19,0.7266913652420044,0.7316634654998779,0.7634889483451843,0.6639260649681091
20,0.7319331765174866,0.7215672135353088,0.7509085536003113,0.6836393475532532
21,0.7322127223014832,0.7174431681632996,0.7566396594047546,0.6916404962539673
22,0.7358470559120178,0.7098982930183411,0.7457366585731506,0.6958557963371277
23,0.7402152419090271,0.696758508682251,0.7639083266258241,0.6675421595573425
24,0.7417877912521362,0.6974087357521057,0.7699189186096191,0.6449010372161865
25,0.7413684725761414,0.69147127866745,0.76544588804245,0.6557480096817017
26,0.7472043633460999,0.6804772019386292,0.7735532522201538,0.6315620541572571
27,0.7482876777648926,0.6780468821525574,0.7721554636955261,0.6388168334960938
28,0.7551020383834839,0.665776789188385,0.7704780697822571,0.6442575454711914
29,0.7533897161483765,0.6660292744636536,0.7746714949607849,0.6320459246635437
30,0.7554864287376404,0.6660731434822083,0.7657254934310913,0.644966185092926
31,0.7580374479293823,0.6527928709983826,0.7713167667388916,0.6388835310935974
32,0.7580724358558655,0.6488136649131775,0.7517472505569458,0.6809067726135254
33,0.762894868850708,0.6501550078392029,0.7745317220687866,0.6367159485816956
0,0.2961280345916748,1.6883221864700315,0.4447861313819885,1.346975326538086
1,0.4245876371860504,1.3797874450683594,0.5542353987693787,1.1413137912750244
2,0.5156905055046082,1.1970878839492798,0.5915571451187134,1.0339734554290771
3,0.5671302676200867,1.0985888242721558,0.6114062070846558,0.9799210429191588
4,0.5995946526527405,1.0301800966262815,0.5985462665557861,1.0460022687911987
5,0.6244059205055237,0.9813167452812196,0.626782238483429,1.0046954154968262
6,0.6424028277397156,0.9398171305656432,0.6762650012969971,0.8458189964294434
7,0.6565557718276978,0.9072853922843932,0.6571149230003357,0.8771656155586243
8,0.6676684617996216,0.8787675499916077,0.6680178642272949,0.8709467053413391
9,0.6789558529853821,0.851810097694397,0.7079955339431763,0.7653788328170776
10,0.685280978679657,0.8394023180007935,0.7207157015800476,0.7461153864860535
11,0.6941920518875122,0.8174662590026855,0.716522216796875,0.7585263848304749
12,0.6991193890571594,0.8010311126708984,0.7124685645103455,0.7717151641845703
13,0.7085196971893309,0.7881810069084167,0.7003075480461121,0.7839388251304626
14,0.7115599513053894,0.775063157081604,0.7191780805587769,0.7252341508865356
15,0.7178850769996643,0.7639734745025635,0.7295219302177429,0.7290315628051758
16,0.7193527817726135,0.757532000541687,0.7387475371360779,0.7010812759399414
17,0.7237209677696228,0.7414429783821106,0.7446184158325195,0.6860323548316956
18,0.7281590700149536,0.7324736714363098,0.7465753555297852,0.678921639919281
19,0.7320729494094849,0.7265182733535767,0.7493709921836853,0.671984076499939
20,0.7332611083984375,0.7141683101654053,0.7609728574752808,0.653594970703125
21,0.7389921545982361,0.7097312211990356,0.7446184158325195,0.6872590780258179
22,0.7382932901382446,0.7016707062721252,0.7447581887245178,0.6876439452171326
23,0.7409490942955017,0.6969240307807922,0.7531450986862183,0.6578223705291748
24,0.744548499584198,0.6830880045890808,0.7623707056045532,0.6400264501571655
25,0.7509435415267944,0.6831640005111694,0.7669835090637207,0.6371006369590759
26,0.7509435415267944,0.6747174859046936,0.7535644173622131,0.6693639159202576
27,0.7496854662895203,0.6706857681274414,0.7552418112754822,0.6673046350479126
28,0.7558708190917969,0.6598439216613771,0.7629298567771912,0.6615228652954102
29,0.759120762348175,0.6521469950675964,0.7592955231666565,0.6393260955810547
30,0.7605535387992859,0.6497197151184082,0.7685211300849915,0.626853883266449
31,0.760448694229126,0.6446405649185181,0.7604137659072876,0.6449463367462158
32,0.7638733386993408,0.6384751200675964,0.7612524628639221,0.6613805294036865
33,0.7671582102775574,0.6354057192802429,0.7660050392150879,0.6395389437675476
34,0.7694646120071411,0.6268153786659241,0.7682415246963501,0.6345317363739014
35,0.7690452933311462,0.6263880729675293,0.7706178426742554,0.6230923533439636
36,0.767577588558197,0.6265543699264526,0.7707576155662537,0.6178504824638367
37,0.7752306461334229,0.6145711541175842,0.7707576155662537,0.6295627951622009
